Episode,TotalReward,MovingAvgReward,EpisodeLength,Loss,MeanQ,Epsilon,ExplorationRate
1,-262.1399999999938,0.0,3169,0.5990901589393616,2.757887363433838,0.89288228129812,0.875
2,-273.32999999999265,-262.1399999999938,3218,0.08320902287960052,2.300144672393799,0.891329754000543,0.75
3,-226.61999999999298,-267.7349999999932,3317,0.07078777253627777,3.5012197494506836,0.8882022846509888,0.75
4,-314.4899999999902,-254.02999999999312,3344,0.11633201688528061,3.6827266216278076,0.8873514856976982,1.0
5,-232.27999999999042,-269.14499999999236,3358,0.030424706637859344,3.8300397396087646,0.8869106922993785,0.875
6,-306.559999999988,-261.771999999992,3711,0.04553806409239769,3.567265033721924,0.8758775903332235,1.0
7,-234.9799999999878,-269.236666666658,3743,0.09874716401100159,4.034772872924805,0.8748851023454168,0.875
8,-314.58999999998593,-264.34285714284795,3774,1.5546385049819946,4.751896858215332,0.8739248403040157,0.875
9,-226.04999999999293,-270.6237499999902,3161,0.04318484291434288,3.661578416824341,0.7987092912108144,0.75
10,-262.8399999999916,-265.6711111111016,3235,0.8769094347953796,4.566497802734375,0.7952800842645386,0.875
11,-142.570000000003,-265.3879999999906,3183,0.11259844899177551,6.134344100952148,0.7932250980950599,1.0
12,-249.47999999999195,-254.222727272719,3524,0.07125300168991089,6.355747699737549,0.7845726420330972,0.75
13,-234.7299999999944,-253.82749999999172,3189,0.03256388008594513,7.1844658851623535,0.7812400656399812,0.625
14,-329.6599999999857,-252.35846153845347,3897,0.24009718000888824,6.814072608947754,0.773329469486514,1.0
15,-205.3999999999959,-257.8799999999915,3651,0.050687357783317566,6.058725357055664,0.7695961458932925,0.25
16,-266.65999999998644,-254.38133333332513,4562,0.10907132923603058,6.23968505859375,0.7464622229489253,0.625
17,-204.31999999999078,-255.14874999999148,2988,0.3751600384712219,6.247784614562988,0.7199970768836984,0.375
18,-155.6200000000029,-252.1588235294032,2983,0.1200830265879631,6.155673980712891,0.7170775860991887,0.75
19,-197.87999999999798,-246.7955555555476,3404,0.7895134091377258,5.237565994262695,0.6974285907799076,0.5
20,-234.8899999999943,-244.22105263157133,3855,0.053223419934511185,6.7616424560546875,0.6941636362485032,0.5
21,-199.8799999999965,-243.75449999999245,3204,0.7974966168403625,6.809891700744629,0.6923364275946537,0.75
22,-206.82999999999356,-241.66523809523073,3824,0.914240837097168,8.026925086975098,0.6846157321760133,1.0
23,-153.36,-240.08181818181086,2932,0.12629541754722595,6.293605804443359,0.6749222207140134,0.75
